X XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
X XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
1 XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
0 01000010000000000000000000000000 01000011010000000000000000000000
0 11000011010100000000000000000000 11000101111010000000000000000000
0 01000101100001000000000000000000 01000010111000000000000000000000
0 11000111010011000000000000000000 01001001000011000000000000000000
0 11000100101100000000000000000000 01000010100011000000000000000000
0 11000010101000000000000000000000 11000100101100000000000000000000
0 11000001101000000000000000000000 11000011110000000000000000000000
0 11000011011100000000000000000000 11000011000000000000000000000000
0 01000110100000000000000000000000 11000101001000000000000000000000
0 11000101000000000000000000000000 01000010111101000000000000000000
0 11000010001000000000000000000000 11000010000000000000000000000000
0 01000100100000000000000000000000 01000100100000000000000000000000
0 11000111100001000000000000000000 01000001110000000000000000000000
0 11000101101000000000000000000000 11000100100000100000000000000000
0 11000111110110000000000000000000 11000010010000000000000000000000
0 11000011000010000000000000000000 11000010000000000000000000000000
0 11000011111101000000000000000000 11000101011000000000000000000000
0 11000010000000000000000000000000 01000010011000000000000000000000
0 11000110110000000000000000000000 01000101001001000000000000000000
0 01000101000000000000000000000000 11001000110001000000000000000000
0 01000111000000000000000000000000 11000110111100000000000000000000
0 01000100100011100000000000000000 11000110101110000000000000000000
0 01000011000000000000000000000000 11000101010000000000000000000000
0 11000101000000000000000000000000 01000010100000000000000000000000
0 01000001100110000000000000000000 11000100100000000000000000000000
0 01000011101000000000000000000000 11000011101100000000000000000000
0 01000011000011000000000000000000 01001000000000000000000000000000
0 01000101011000000000000000000000 11000101000100000000000000000000
0 11000100100000000000000000000000 01000010110001000000000000000000
0 11000110100000000000000000000000 01000100100000000000000000000000
0 01000100101000000000000000000000 11000011100100000000000000000000
0 11000101000000000000000000000000 01000110000000000000000000000000
0 11000000100000000000000000000000 11000010001001000000000000000000
0 11000011000010000000000000000000 11000010110000000000000000000000
0 11000111000011000000000000000000 01000111100001000000000000000000
0 01000010100001000000000000000000 01000010110000000000000000000000
0 11000110100000000000000000000000 11000101100000000000000000000000
0 01000010010000000000000000000000 11001001101010000000000000000000
0 11001000101111000000000000000000 01000101110110000000000000000000
0 11000010000100000000000000000000 01000101100000000000000000000000
0 01000101001000000000000000000000 01000111011100000000000000000000
0 11000010010111000000000000000000 01000110100000000000000000000000
0 11000101001100000000000000000000 11000110100011000000000000000000
0 01000000100000000000000000000000 11000001101110000000000000000000
0 01000110100101000000000000000000 11000000101000000000000000000000
0 01000110001100000000000000000000 11000100101100000000000000000000
0 01000111101110000000000000000000 11001000000100000000000000000000
0 11000110000000000000000000000000 01000100010000000000000000000000
0 11000000000000000000000000000000 11000101100100000000000000000000
0 11000100100000000000000000000000 01000100101100000000000000000000
0 01000100101010000000000000000000 01000111001010000000000000000000
0 01000100100000000000000000000000 11000110011100000000000000000000
0 11000111101000100000000000000000 11000011001010000000000000000000
0 01000101000110000000000000000000 01000010101100000000000000000000
0 01000101001110000000000000000000 01000100000000000000000000000000
0 11000111000100000000000000000000 11000101000000000000000000000000
0 11000010011000000000000000000000 11000111100000000000000000000000
0 01000100010100000000000000000000 01001000001011000000000000000000
0 11000010110100000000000000000000 01000110101000000000000000000000
0 01000010110000000000000000000000 11000010100010000000000000000000
0 11000010001100000000000000000000 11000001101000000000000000000000
0 01000100000010000000000000000000 11000101000100000000000000000000
0 11000011010000000000000000000000 01000010011000000000000000000000
0 01000100000100000000000000000000 11001000100101100000000000000000
0 01000100110101000000000000000000 01000101000100000000000000000000
0 01000001000000000000000000000000 11000100101010000000000000000000
0 01000100001001000000000000000000 01000100110110000000000000000000
0 01000010100000000000000000000000 11000011101100000000000000000000
0 01000010010110000000000000000000 11001000001011000000000000000000
0 11000101011100000000000000000000 01000010100000000000000000000000
0 01000011110000000000000000000000 11000111000000000000000000000000
0 11000100100100000000000000000000 01000100011011000000000000000000
0 01000110100001100000000000000000 01000001110100000000000000000000
0 01000010010000000000000000000000 11000111011000000000000000000000
0 01000011110000000000000000000000 01000110100000000000000000000000
0 01000111100001000000000000000000 11000011101001000000000000000000
0 01000100000000000000000000000000 11000011000100000000000000000000
0 01000101010000000000000000000000 11000101100010000000000000000000
0 11000011100100000000000000000000 01000001011100000000000000000000
0 01000101000010100000000000000000 11000111101011000000000000000000
0 01000101100010100000000000000000 01000011110110000000000000000000
0 11000111101000000000000000000000 01000010000100000000000000000000
0 01000101100000000000000000000000 11000011010000000000000000000000
0 11000101010000000000000000000000 11000010101000000000000000000000
0 11000101001000000000000000000000 11000011010010000000000000000000
0 11000010011110000000000000000000 11001000000001000000000000000000
0 11000011100100000000000000000000 01001000001100000000000000000000
0 01000100000000000000000000000000 11001000001000000000000000000000
0 01000110000000000000000000000000 11000100001110000000000000000000
0 01001000010100000000000000000000 11000110001100000000000000000000
0 11000011000000000000000000000000 11000010111110000000000000000000
0 01000101010010000000000000000000 01001000101000000000000000000000
0 01000101100101000000000000000000 11000110101100000000000000000000
0 01001000110000000000000000000000 01000100101000000000000000000000
0 01000100101000000000000000000000 11000111101000000000000000000000
0 01000111100110000000000000000000 01000101010000000000000000000000
0 01001000100000000000000000000000 11000001110000000000000000000000
0 01001000111100000000000000000000 01000110100000000000000000000000
0 11000111000100000000000000000000 01000101101000000000000000000000
0 01000100100000000000000000000000 11000100001100000000000000000000
0 01000001110110000000000000000000 01000011011000000000000000000000
0 11001001101010100000000000000000 11000010000000000000000000000000
0 11000101010000000000000000000000 11000110010000000000000000000000
0 01000100100000000000000000000000 11000010111001000000000000000000
0 11000100010100000000000000000000 11001000001111000000000000000000
0 11000001110000000000000000000000 01001000010110000000000000000000
0 11000110111000000000000000000000 01000101110100000000000000000000
0 11000111000000000000000000000000 01000110110100000000000000000000
0 01000110100010000000000000000000 01000000010000000000000000000000
0 11000101101100000000000000000000 11000110000000000000000000000000
.
